department,avg_consum_mean,avg_consum_std,qty_customers_count
1,225.79684486705494,100.8992865293077,2436
2,341.99491373697913,40.02511656416057,4
3,184.45296097799928,105.10207297421059,2303
4,99.87610161822774,81.16972277238355,46
5,163.6916559283801,101.60660814440159,341
6,159.27154877193604,105.08527728419627,255
7,158.3133671314029,97.82162309777016,118
8,171.63855600908022,102.39620430837523,119
9,143.29251724207532,127.36571285078269,58
10,178.81443359063078,91.57645869144366,1396
11,193.0405655347076,101.81373040187772,159
12,173.82225633092202,102.20193085669104,131
13,167.7376929413189,78.65194753837307,55
14,136.43301586574978,106.01225296139125,15
15,183.99872179500974,105.8579646708114,330
16,156.35438254901337,106.95097768328593,427
17,177.44461460384252,98.72867029462203,364
18,160.46775931156037,107.3310595241156,110
19,117.87640690803528,85.78815701300908,24
